image_name,caption
145645390.jpg, A man in a beige shirt and white hat stands looking at the bottom of a brown staircase which is decorated with colorful images of animals and designs .
145645390.jpg, A man is going upstairs in a museum or archaeological area .
145645390.jpg, Artwork on stairs and covering the wall .
145645390.jpg, A man is posing for a pic in a museum .
145645390.jpg, A man with goatee rides an escalator .
1466479163.jpg, A brown dog runs through the grass holding something in its mouth .
1466479163.jpg, Chocolate brown dog running on grass with something in its mouth .
1466479163.jpg, A small dog runs in a field 
1466479163.jpg, The dog is running with food in his mouth .
1466479163.jpg, A brown dog runs with a toy in its mouth .
1468429623.jpg, A man walks while a black dog is trying to bite something on the man 's arm .
1468429623.jpg, The man is wearing safety gear while he is training the black dog .
1468429623.jpg, A black dog is jumping up 
1468429623.jpg, A man training a dog to attack his padded left arm .
1468429623.jpg, A dog leaps on a man .
149149251.jpg, Two men ; one in a blue shirt and ball cap 
149149251.jpg, A guy in a blue vest lunging at a guy in a white shirt on a sporting field .
149149251.jpg, Two men play a frisbee game near an airport .
149149251.jpg, Two male opponents play ultimate frisbee .
149149251.jpg, Two men fighting while playing frisbee .
153299765.jpg, A worker in a checkered shirt weighs out produce behind a stand that offers exotic foods .
153299765.jpg, Variety is the spice of life no matter what the culture may be .
153299765.jpg, A man prepares to sell items from his food cart .
153299765.jpg, The street vendor is preparing food to be sold .
153299765.jpg, A man in a red shirt preparing food .
154653766.jpg, A group of teenage boys is standing in front of a Wells Fargo Bank .
154653766.jpg, 4 teenagers are standing outside a Wells Fargo bank .
154653766.jpg, Four men standing in outside of Wells Fargo Bank .
154653766.jpg, Young men loitering outside of a bank .
154653766.jpg, Four people in front of wells fargo .
1564614124.jpg, A closeup of a girl holding a heart necklace and looking at it .
1564614124.jpg, A girl plays with a necklace as the sun shines behind her .
1564614124.jpg, A girl with the sun behind her plays with some jewelry .
1564614124.jpg, A girl playing with a stretchy charm bracelet .
1564614124.jpg, A little girl examines a piece of jewelry .
162152393.jpg, A girl sits on a ledge by the beach 
162152393.jpg, a woman sitting on a wall with several multicolored flags behind her
162152393.jpg, A person is sitting on a wall beside the beach .
162152393.jpg, A girl on a beach with rainbow flags .
162152393.jpg, Woman at kite festival on boardwalk
164969525.jpg, Three people dancing acrobatically in a subway station 
164969525.jpg, A person is cartwheeling over another person while a third person runs behind them .
164969525.jpg, Three teenagers in a subway playing around .
164969525.jpg, Four people in the subway are having fun .
164969525.jpg, Three people dancing in the subway .
166321294.jpg, A motorcycle driver dressed in orange gear swerves to the right .
166321294.jpg, A motorcyclist on a red speed bike leans into a sharp turn .
166321294.jpg, Motorcyclist crouches low as he rounds a turn .
166321294.jpg, A man is riding on a red motorcycle .
166321294.jpg, This person is on a red motorcycle .
1678396864.jpg, An elderly woman in a black dress holds a black umbrella over a small boy in a red jacket and brown pants on a pier with a boat in the background .
1678396864.jpg, An adult woman and a young male child walking along a pier 
1678396864.jpg, An older women and child walking in the rain holding and umbrella .
1678396864.jpg, A woman with an umbrella is walking with a little boy to his home .
1678396864.jpg, A little boy and elderly Lady are sharing a black umbrella .
1690043294.jpg, A group of Asian men and women talk to each other as they walk down a busy street corner .
1690043294.jpg, A man sits on the sidewalk in front of an Asian restaurant as people pass .
1690043294.jpg, Many people are walking or standing on a busy city sidewalk .
1690043294.jpg, Downtown shoppers passing by homeless man .
1690043294.jpg, A man sitting on a busy sidewalk .
172092461.jpg, A man wakeboards in a red vest and smiles for the camera .
172092461.jpg, A man wearing a red life vest waves as he waterskiis .
172092461.jpg, guy wakeboarding one handed and smiling
172092461.jpg, Man rides surfboard through water .
172092461.jpg, A young man rides a wakeboard .
1733671069.jpg, A young man with long brown hair and a white shirt sings into a microphone
1733671069.jpg, A blond man passionately sings into the microphone .
1733671069.jpg, A young man is singing into a microphone .
1733671069.jpg, A man in white is singing his heart out .
1733671069.jpg, A man is singing into a microphone .
1733807750.jpg, A woman with a walkie talkie and a bicycle helmet and bicycle standing near another woman in a black jacket .
1733807750.jpg, A female biker dressed in red uses a communication device while another walks by .
1733807750.jpg, A woman appears to be taking a break from riding her bike .
1733807750.jpg, a bicyclist is smiling at a woman walking by
1733807750.jpg, A security officer uses her radio .
184256548.jpg, A young man with a close haircut and wearing a sport coat 
184256548.jpg, A man in a black coat and blue shirt is talking on his phone indoors .
184256548.jpg, A man is a black suit is talking on the phone in a room .
184256548.jpg, A businessman in a dark suit is talking on a cellphone .
184256548.jpg, A man makes a call on a cellphone .
184477778.jpg, The back-view of a group of people looking at fireworks .
184477778.jpg, A large group of people watching fire works together .
184477778.jpg, A group of people watching a fireworks show .
184477778.jpg, crowd of people enjoying a fireworks show
184477778.jpg, A crowd looks on at fireworks .
185075930.jpg, A blond boy smiles with his eyes closed 
185075930.jpg, A kid on the beach buried himself in sand with only his head exposed .
185075930.jpg, A little blond boy is buried up to his neck in the sand .
185075930.jpg, Little boy is covered in sand while closing his eyes .
185075930.jpg, A child buried in the sand .
187347143.jpg, Four children in bathing suits are sitting in a canoe at the shore of a lake .
187347143.jpg, Four kids 
187347143.jpg, There are four people in a kayak riding along a body of water .
187347143.jpg, Children sitting in a canoe on a quiet lake .
187347143.jpg, Children are canoeing on a beautiful lake .
188741283.jpg, A slightly overweight woman in a short skirt and top stands on the sidewalk in front of a wall with several old posters and a barred window .
188741283.jpg, A woman wearing a short skirt 
188741283.jpg, Woman stands against wall filled with old advertisements wearing a short white shirt with jean jacket and skirt .
188741283.jpg, A woman wearing black shorts 
188741283.jpg, Trashy blond woman standing alone in a dark alley .
1918573100.jpg, A dog is running on a wooden beam beside a blue fence .
1918573100.jpg, A black and white dog balances on a wooden plank .
1918573100.jpg, A dog performs acrobatic stunts on a platform .
1918573100.jpg, A dog walks on a red plank by a blue railing .
1918573100.jpg, The dog walks on the high plank .
1928789813.jpg, An intimate setting with low lighting 
1928789813.jpg, A group of people having conversations at a restaurant .
1928789813.jpg, A group of people having a drink and conversation .
1928789813.jpg, People are gathered around tables in a restaurant .
1928789813.jpg, A small group has gathered for dinner at a cafe .
193596775.jpg, A woman in a sky blue coat is talking on a corded phone while petting a black dog .
193596775.jpg, A woman wearing blue is talking on the phone in front of a black and brown dog .
193596775.jpg, A red-haired woman talking on the phone while petting a brown and tan dog .
193596775.jpg, A woman is talking on the phone while standing next to a dog .
193596775.jpg, A large woman in a blue shirt holds the paw of a large dog .
199413509.jpg, A woman peers out from her halfway opened blue door with three pairs of flip-flop sandals on her doorstep .
199413509.jpg, A little old woman peaks out from behind the blue doorway and three pairs of plastic sandals .
199413509.jpg, A blue door opened and a woman peeking from the left side .
199413509.jpg, An old Asian woman looks from behind a blue doorway .
199413509.jpg, An Asian woman peering around a blue doorway .
202174004.jpg, Climbers with hiking boots and blue helmets ascend a snow covered mountain .
202174004.jpg, A group of hikers are climbing up a snowy mountain .
202174004.jpg, A group of people are hiking up an icy hillside .
202174004.jpg, Five people in full gear are mountain climbing .
202174004.jpg, A group of people are climbing in cold weather .
204150602.jpg, A man in long pants does a handstand on a large 
204150602.jpg, A man is doing a handstand on top of a circular sculpture covered with graffiti .
204150602.jpg, Someone is doing a handstand on the top of an outdoor sculpture .
204150602.jpg, A man doing handstand on top of a round statue .
204150602.jpg, A person does a handstand on public art .
2059842472.jpg, A little toddler in blue pants is crawling on the road .
2059842472.jpg, A baby crawls next to a street against a blue sky .
2059842472.jpg, A baby crawls on asphalt against a blue sky .
2059842472.jpg, A little Asian boy crawls along on asphalt .
2059842472.jpg, An Asian baby crawling on a road .
207275121.jpg, A dog runs on the grass in a yard 
207275121.jpg, A large brown dog is running through a grassy backyard .
207275121.jpg, Large brown dog runs through a large grassy area .
207275121.jpg, A dog trotting through someone 's yard .
207275121.jpg, A brown dog running in a yard .
2072907691.jpg, A bald man in a black and orange robe is standing with a fan in front of burning plants with a crowd encircling him .
2072907691.jpg, An Asian man in a black robe is holding up a small fan by a bush with smoke coming out of it .
2072907691.jpg, An Asian man holds a fan and sits closely to a burning bush .
2072907691.jpg, Buddhist priest blessing his worshipers .
2072907691.jpg, Monks are gathering for a ceremony .
2077433632.jpg, A woman in front of white bars puts her hand to her forehead and talks on the phone .
2077433632.jpg, A lady with some jeans on talking on a cellphone with her hand on her forehead .
2077433632.jpg, i do n't see a picture i do n't see a picture i do n't see a picture
2077433632.jpg, A girl sitting on the ground is talking on a cellphone .
2077433632.jpg, a grief stricken woman sitting and talking on the phone
209073498.jpg, This provides a view of several waiting rooms 
209073498.jpg, A man wearing a yellow USA shirt sits outside of a building with its doors open .
209073498.jpg, Man in a yellow usa shirt is sitting outside of a lobby entrance .
209073498.jpg, man in yellow shirt with USA on it sits on chair next to door
209073498.jpg, A man in a yellow shirt sits outside a waiting room .
2109911919.jpg, A person climbing up the side of a snowy mountain to fetch his or her ski poles .
2109911919.jpg, A climber with a backpack accends a snow covered mountain .
2109911919.jpg, A skier climbs up a snowy trail toward his poles .
2109911919.jpg, Man climbing a steep snow-covered slope .
2109911919.jpg, A person climbing up a snowy mountain .
211341511.jpg, A young girl in a yellow shirt with a falconer 's glove and hawk perched on it is being assisted by a man with a ball cap and microphone in one hand .
211341511.jpg, A young girl in a yellow jersey is holding a falcon on her arm while a man in a hat interviews her using a microphone .
211341511.jpg, A girl has a falcon resting on her hand 
211341511.jpg, A falcon is perched on a girl 's left arm as a man assists her and talks into a microphone .
211341511.jpg, A young girl in a yellow shirt is holding a bird for a speaker .
213836461.jpg, A man rides a bucking bull in a rodeo 
213836461.jpg, Cowboy turns back to wave out of the corral at a rodeo .
213836461.jpg, A bull rider is trying to stay on a bull at a rodeo .
213836461.jpg, A cowboy is riding a bucking bull in a rodeo arena .
213836461.jpg, The cowboy waves to the rodeo crowd .
213980367.jpg, Bubbles surrounded the two little girls with red-hair as they stood in front of the red wagon .
213980367.jpg, Two redheaded children play with bubbles with adults and a body of water in the background .
213980367.jpg, It 's Summer time and two girls play with bubbles near a boat dock .
213980367.jpg, Two young girls are playing with bubbles overlooking the water .
213980367.jpg, Two young girls enjoying their day at the park with bubbles .
2142414731.jpg, The boy in the blue shirt is playing a game on the wood floor with the girl in pink pants .
2142414731.jpg, A young boy and a young girl are sitting on hardwood floors playing Pokemon .
2142414731.jpg, Two toddlers on the floor playing a game with cards and a board
2142414731.jpg, Small children playing pokemon trading card game .
2142414731.jpg, A young boy and girl playing Pokemon .
215123993.jpg, A surfer wearing a wetsuit rides a wave on a bright day .
215123993.jpg, Man surfing on a brightly colored surfboard .
215123993.jpg, A man in a black suit surfs on a wave .
215123993.jpg, A surfer riding a wave in the ocean .
215123993.jpg, A man in a black wetsuit is surfing .
217838128.jpg, The man in the brown cap is paddling a boat on calm river .
217838128.jpg, A man is rowing on his boat through very still water .
217838128.jpg, A old man canoeing with green Lilly pads .
217838128.jpg, A man is rowing a canoe on a lake .
217838128.jpg, A man in a paddle boat on a lake .
2180480870.jpg, Tan dog running through long grass in a park-like setting .
2180480870.jpg, The large 
2180480870.jpg, a little brown dog running through a field of grass
2180480870.jpg, A dog runs through the grass .
2180480870.jpg, A brown dog is about to jump .
2183877589.jpg, View of a highway and feeder road with light traffic and a two road workers with their parked truck .
2183877589.jpg, Two men wearing yellow and orange vests working by a highway exit sign .
2183877589.jpg, Highway workers examining the ground on a highway .
2183877589.jpg, A white truck is parked on the side of a highway .
2183877589.jpg, Cars are taking an exit down the highway .
2188171629.jpg, An attendant is taking a break reading a newspaper at his desk overseeing chicken coops .
2188171629.jpg, The man is comfortable sleeping knowing his chickens will sound the alarm .
2188171629.jpg, A man is sleeping in a chair surrounded by numerous chickens in crates .
2188171629.jpg, A man is sleeping amongst dozens of chickens locked in cages .
2188171629.jpg, A man appears to be sleeping in a warehouse of chickens .
2191896524.jpg, A man is talking into a microphone 
2191896524.jpg, An african american gentleman is playing the piano and singing into a microphone while being watched by a young boy .
2191896524.jpg, A man is singing into a microphone whilst playing the keyboard 
2191896524.jpg, A man is playing the keyboard and singing into a microphone while a young boy watches .
2191896524.jpg, A black man in an army jacket playing the keyboard and singing .
219288082.jpg, A white-haired man reclines in a seat pad on a boat 's deck 
219288082.jpg, An elderly man wearing glasses is sitting on a boat and reading a book .
219288082.jpg, A man sitting on a boat being watched by police officers .
219288082.jpg, Man sitting on deck reading on boat 
219288082.jpg, An older man reading a book while sitting on a boat .
2224450291.jpg, A man in blue takes a photo of the person taking a photo of him .
2224450291.jpg, A man in a tropical enviorment holding a camera to his face .
2224450291.jpg, A man taking a picture with a silver camera .
2224450291.jpg, The man is outdoors 
2224450291.jpg, Man in a blue shirt with a camera .
2231551206.jpg, A young man wearing a hoodie 
2231551206.jpg, A man wearing Power glasses watches a DELL television sitting near the window .
2231551206.jpg, A man in glasses relaxing with his feet up .
2231551206.jpg, Man is laying down on red lounge chair .
2231551206.jpg, A man is laid back in front of a tv .
2245618207.jpg, There is a girl in a red jacket smiling with her hand on a red blow up and a crowd behind her .
2245618207.jpg, A child touching a red plastic object 
2245618207.jpg, A child in red jumps on a red object while others laugh .
2245618207.jpg, Many children having fun outside near large buildings .
2245618207.jpg, A girl in a crowd laughs and climbs on something .
2259203920.jpg, Little white dog wearing a leash jumping after a red ball .
2259203920.jpg, A white and brown dog jumps towards a red ball .
2259203920.jpg, A small dog on a leash jumps toward a pink ball
2259203920.jpg, A fox terrier leaps after a ball .
2259203920.jpg, A terrier chasing a red ball .
2279496715.jpg, A young girl wearing pink is pushing a green wheelbarrow with a young blond boy in it .
2279496715.jpg, A little boy is sitting in a wheel barrel while a girl in pink holds the handles .
2279496715.jpg, A young boy rides in a wheelbarrow as a young girl holds the handles .
2279496715.jpg, The girl is holding the wheelbarrow while the boy sits inside .
2279496715.jpg, a young boy in a green wheel barrel with a girl pushing him .
2293308835.jpg, A small girl rides on a woman 's back outdoors .
2293308835.jpg, A woman carrying a small child on her back .
2293308835.jpg, A woman is carrying a child on her back .
2293308835.jpg, A woman is carrying a baby on her back .
2293308835.jpg, A woman carried a girl on her back .
2295447147.jpg, A brown dog in two black collars running through a grassy field .
2295447147.jpg, A light brown dog with a dark collar bounding through grass .
2295447147.jpg, A brown dog in mid-run in grass .
2295447147.jpg, A dog running in a field .
2295447147.jpg, A brown dog in a field .
229574079.jpg, Four large men are eating together in what looks like a food-eating contest .
229574079.jpg, Four men with beards standing up and holding white plates .
229574079.jpg, Four men are eating off of small white plates .
229574079.jpg, Several men are eating off plates .
229574079.jpg, Men compete in an eating contest .
229954612.jpg, Some people are crossing a green bridge over a river .
229954612.jpg, People gather on a bridge near a weeping willow tree .
229954612.jpg, People walk on a small bridge over a lake .
229954612.jpg, People on a bridge look at the water .
229954612.jpg, People stand on a bridge over water .
2315335328.jpg, A blond woman in a green dress 
2315335328.jpg, A pretty young woman with glasses and wearing a vintage dress is holding a yellow pot containing some sort of knitted or crocheted objects .
2315335328.jpg, A woman with blond-hair 
2315335328.jpg, A pretty blond lady wearing glasses holding a yellow flower pot containing multicolored objects .
2315335328.jpg, A woman in a green flowered dress is holding a container of yarn animals .
2321773207.jpg, This is a scene in a subway station where two people are sitting on a bench waiting for the train .
2321773207.jpg, A man sits on a bench and patiently waits for his train at the subway station .
2321773207.jpg, A person sitting down on a benching waiting in the subway .
2321773207.jpg, A young man with brown hair sits and waits for a train .
2321773207.jpg, A man is sitting on a bench at a subway station .
2322797357.jpg, A band performs on a stage in front of wall-sized posters 
2322797357.jpg, A band is playing on stage with the guy on the left playing a red and white guitar .
2322797357.jpg, A guitar band is playing on stage .
2322797357.jpg, A band performing on stage .
2322797357.jpg, Kids forming a rock band .
2331094501.jpg, Two men kneel on a green and red mat next to each other while various objects hang on racks on a white wall behind them .
2331094501.jpg, Two men in martial arts clothing are kneeling before racks of weapons .
2331094501.jpg, @ men are kneeling with their hands in front of them .
2331094501.jpg, Two karate men are sitting beside each other .
2331094501.jpg, two men in karate suits on their knees
23445819.jpg, a beagle and a golden retriever wrestling in the grass
23445819.jpg, Two puppies are playing in the green grass .
23445819.jpg, two puppies playing around in the grass
23445819.jpg, Two dogs are wrestling in the grass .
23445819.jpg, Two puppies play in the grass
2346402952.jpg, Two women are operating a laptop connected to a camera in a parking lot with a third person standing by .
2346402952.jpg, Three people are looking into photographic equipment .
2346402952.jpg, Two women reviewing pictures they took .
2346402952.jpg, Three women are looking into a camera .
2346402952.jpg, Two women on a movie set reviewing film
2347570082.jpg, Two police officers in yellow reflective jackets are standing in a shopping zone having a conversation .
2347570082.jpg, Two police officers in bright yellow uniforms are standing and talking to one another .
2347570082.jpg, Two police officers in yellow jackets stand on a city street .
2347570082.jpg, Two policemen are talking to each other on the street .
2347570082.jpg, Two English police officers talking and laughing .
235834122.jpg, 4 people are lying down stacked on top of one another on a white sheet placed on the ground .
235834122.jpg, A well-dressed group of mixed gender is rolling down a white slope inside a building .
235834122.jpg, A group of four people are on top of each other and pose for a picture .
235834122.jpg, Four females laying stacked on top one another and laughing .
235834122.jpg, women posing in a goofy candid photo in a studio
2367318629.jpg, a few small children drapped with black cloaks and black hats with red trim .
2367318629.jpg, Four children in black and red hats and black clothes perform .
2367318629.jpg, Some children in black robes and black and red hats .
2367318629.jpg, Five children dressed in black cloaks and hats .
2367318629.jpg, five girls dressed alike
237277765.jpg, The girl in blue shorts is sitting on a broken tree stump .
237277765.jpg, A girl is sitting on a log in the middle of some trees .
237277765.jpg, A little girl squats on a tree stump in the woods .
237277765.jpg, A young girl sits on a tree stump in the woods .
237277765.jpg, The girl is sitting in the woods .
2385744837.jpg, A boy in a red jacket and balck hat sliding on his knees down a snowy hill
2385744837.jpg, A child in a red parka slides down a snowy hill .
2385744837.jpg, Little boy in a red jacket sliding in the snow .
2385744837.jpg, A boy in a red jacket slides down the ice .
2385744837.jpg, Child sliding in the snow .
2396034865.jpg, Two happy looking children quickly move towards the camera away from their desert tent shanty camp .
2396034865.jpg, Two children 
2396034865.jpg, Two young children running towards the camera in a poverty stricken dirt covered area .
2396034865.jpg, Two children 
2396034865.jpg, Two children run through a dirt field behind some tents .
2406591500.jpg, One young boy in a striped shirt is chasing another boy on a path through the jungle .
2406591500.jpg, Two young children 
2406591500.jpg, Two boys are running on a path amoung green leafy trees .
2406591500.jpg, The children are walking on the path lined by trees .
2406591500.jpg, Two boys run on a well maintained trail .
2410040397.jpg, Brown dog with mouth open running toward camera in a wooded area .
2410040397.jpg, A black and brown dog is running through the woods .
2410040397.jpg, A black and brown dog runs through the woods .
2410040397.jpg, A dog running through the woods .
2410040397.jpg, A dog runs through the woods .
2410399168.jpg, One dog is jumping in the air and the other is standing next to it .
2410399168.jpg, Two large brown and white dogs are playing in a grassy area .
2410399168.jpg, The two dogs are jumping around .
2410399168.jpg, A dog jumping from another dog .
2410399168.jpg, Two dogs are playing .
2426828433.jpg, Three large black dogs are playing in the grass .
2426828433.jpg, Three black dogs play in the glass .
2426828433.jpg, Three black dogs play in the grass .
2426828433.jpg, three dogs run through the grass .
2426828433.jpg, Three black dogs on grass .
2443241477.jpg, Two women 
2443241477.jpg, Two women sitting down at a party 
2443241477.jpg, Two women enjoying drinks and each other 's company at a bar .
2443241477.jpg, Two happy looking women beside alcoholic beverages .
2443241477.jpg, A couple of friends have a drink .
2444741900.jpg, A number of people standing and laying under a mountain covered in snow .
2444741900.jpg, Sledding and skiing enthusiasts gather at a snowy rock formation .
2444741900.jpg, A bunch of people are standing or sitting in a snow valley .
2444741900.jpg, Snow skiers gather at the bottom of a snowy hill .
2444741900.jpg, Some people hanging out in the snow .
2444935470.jpg, A young child with orange sleeves stands alone in the woods .
2444935470.jpg, A little boy is standing alone in a wooded park .
2444935470.jpg, A young child is standing in front of some trees .
2444935470.jpg, The little boy poses in the garden .
2444935470.jpg, Small boy in forest .
2455300855.jpg, A man eats from a disposable plate while two dogs beg for his food and two women sitting nearby look at one another .
2455300855.jpg, The man in the blue shirt is eating outside with his family .
2455300855.jpg, 2 women are sitting and a man is standing while he eats .
2455300855.jpg, Some guy stuffing his face at a get together .
2455300855.jpg, Two women are sitting at a table talking .
2456907314.jpg, A man standing on a boat is pulling another boat close by with a bamboo stick .
2456907314.jpg, A man on a boat is using a large stick to push another boat away .
2456907314.jpg, A man on a fishing boat pushing a wooden pole into the water .
2456907314.jpg, A man is using a long pole to push two boats apart .
2456907314.jpg, A man is docking a boat
2467362256.jpg, A black man and a white woman 
2467362256.jpg, A colored man and a young blond 
2467362256.jpg, A young group of people are protesting a sign to protect African Americans from death 
2467362256.jpg," A group of people holding a sign that says "" Maritime workers say stop black deaths in custody "" ."
2467362256.jpg, They are protesting to stop black deaths
2480850054.jpg, A teenage boy runs through the dirt near a house in the country .
2480850054.jpg, A boy is kicking up dust as he runs in the dirt by a tree .
2480850054.jpg, A dusty boy runs along a dirt path through the grass .
2480850054.jpg, A boy wearing brown running in dirt .
2480850054.jpg, a dirty boy runs through the dirt .
2500582887.jpg, A boy on a blue bicycle wearing a white helmet is performing bicycle tricks on a ramp .
2500582887.jpg, A male is doing a trick on his bicycle while others watch him and take pictures .
2500582887.jpg, A man on a BMX bike performing tricks on in midair while a crowd watches him .
2500582887.jpg, A small crowd of people looks on as a man performs tricks on his BMX bike .
2500582887.jpg, A man is doing tricks on a bicycle on a ramp while a crowd watches nearby .
2500720722.jpg," Pedestrians walk by a person set up in front of a business in New York called "" Globe-Slicers . """
2500720722.jpg, A young lady wearing blue jeans and a white jacket is walking down a street filled with trash .
2500720722.jpg, four people in what looks like a back alley are walking while one sits down .
2500720722.jpg, Local vendor in the city selling his product to city folk .
2500720722.jpg, A woman in a white jacket walks past messy storefronts .
2503678250.jpg, A young boy in a striped shirt witting with his dog 
2503678250.jpg, A child with blond-hair is reading a book next to a dog .
2503678250.jpg, A dog lies on his back near a child reading a book .
2503678250.jpg, Boy reading book with company of a rolled over dog .
2503678250.jpg, A little boy is reading while his dog looks on .
2507831979.jpg, A woman with dark hair and glasses sits alone at a table with two coffee cups and saucers .
2507831979.jpg, A woman makes a gesture with her hands while sitting at a cafe .
2507831979.jpg, A woman is chatting as she drinks her coffee .
2507831979.jpg, A woman enjoying coffee at a cafe .
2507831979.jpg, A woman sits in a cafe at night .
2511565376.jpg, People are eating and drinking beer in an outdoor dining area 
2511565376.jpg, People eating outside of a restaurant 
2511565376.jpg, A group of friends are laughing as they drink beer .
2511565376.jpg, A lot of people eating in a common area .
2511565376.jpg, People eating and drinking outdoors .
2525455265.jpg, A girl in a ponytail sitting at the dge of a wooden bench 
2525455265.jpg, A girl in a black shirt is looking to the side while sitting on a wooden bench .
2525455265.jpg, A woman sitting on a bench in a park on a cloudy day
2525455265.jpg, A girl sitting on a bench amongst the grass
2525455265.jpg, A young woman sits on a bench .
2531794051.jpg, A man in sunglasses sits in a chair holding a metal pan 
2531794051.jpg, Indian man sitting in the street doing some sort of metal working 
2531794051.jpg, An older man sits among piles of scrap metal and tools .
2531794051.jpg, The man in the blue sweater is working on the ground .
2531794051.jpg, A man in a blue vest sits surrounded by buckets .
2537580694.jpg, Two workers in orange vests and hard hats are breaking up concrete with jackhammers .
2537580694.jpg, A man in a hard hat and safety vest operates a jackhammer .
